Map,Round_Type,Blue_Team,Red_Team,time_stamp,length,KB,KR,UB,UR,FB
Numbani,Defense,?NYE,?HOU,0:14,0,1,0,0,0,B
Numbani,Defense,?NYE,?HOU,0:31,17,0,6,0,0,R
Numbani,Defense,?NYE,?HOU,1:33,11,0,2,0,1,R
Numbani,Defense,?NYE,?HOU,2:10,26,7,1,3,4,B
Numbani,Defense,?NYE,?HOU,3:04,24,4,1,2,0,R
Numbani,Defense,?NYE,?HOU,4:18,48,6,3,4,5,R
Numbani,Defense,?NYE,?HOU,5:32,52,8,7,4,5,R
Junkertown,Attack,?SEO,?GLA,0:49,13,1,2,0,0,B
Junkertown,Attack,?SEO,?GLA,1:25,38,5,3,4,2,R
Junkertown,Attack,?SEO,?GLA,2:32,27,2,5,1,3,B
Junkertown,Attack,?SEO,?GLA,3:17,26,5,1,4,1,B
Junkertown,Attack,?SEO,?GLA,4:12,30,2,4,1,1,R
Junkertown,Attack,?SEO,?GLA,5:04,28,3,5,3,3,B
Junkertown,Attack,?SEO,?GLA,6:01,25,6,4,2,1,R
Junkertown,Attack,?SEO,?GLA,6:57,19,5,1,3,2,B
Junkertown,Attack,?SEO,?GLA,7:23,17,6,0,2,2,B
Junkertown,Defense,?SEO,?GLA,0:33,14,1,6,0,0,R
Junkertown,Defense,?SEO,?GLA,1:21,9,0,6,0,0,R
Junkertown,Defense,?SEO,?GLA,2:00,32,1,8,2,2,R
Junkertown,Defense,?SEO,?GLA,2:49,32,2,6,2,4,R
Junkertown,Defense,?SEO,?GLA,3:47,24,4,1,2,0,R
Junkertown,Defense,?SEO,?GLA,4:40,32,4,7,4,2,R
Junkertown,Defense,?SEO,?GLA,5:36,23,5,3,1,1,B
Junkertown,Defense,?SEO,?GLA,6:22,10,0,4,1,0,R
Junkertown,Defense,?SEO,?GLA,6:52,47,3,12,4,5,R
Junkertown,Attack,?SEO,?GLA,0:47,16,5,1,0,0,B
Junkertown,Attack,?SEO,?GLA,1:35,18,1,5,1,3,R
Junkertown,Defense,?SEO,?GLA,0:08,0,1,0,0,0,B
Junkertown,Defense,?SEO,?GLA,0:37,0,1,0,0,0,B
Junkertown,Defense,?SEO,?GLA,0:59,19,6,1,1,0,B
Horizon Lunar Colony,Attack,?SEO,?GLA,0:28,29,4,2,0,1,B
Horizon Lunar Colony,Attack,?SEO,?GLA,1:01,39,8,1,3,1,B
Horizon Lunar Colony,Defense,?SEO,?GLA,0:29,12,5,2,1,0,B
Horizon Lunar Colony,Defense,?SEO,?GLA,1:29,29,0,5,0,0,R
Horizon Lunar Colony,Defense,?SEO,?GLA,2:20,29,5,2,2,2,B
Horizon Lunar Colony,Defense,?SEO,?GLA,3:32,4,5,0,1,0,B
Horizon Lunar Colony,Defense,?SEO,?GLA,4:21,30,6,2,3,5,B
Horizon Lunar Colony,Defense,?SEO,?GLA,5:32,1,1,1,0,0,B
Horizon Lunar Colony,Defense,?SEO,?GLA,6:20,44,6,3,5,4,R
Horizon Lunar Colony,Defense,?SEO,?GLA,7:36,78,6,15,5,5,B
Horizon Lunar Colony,Attack,?SEO,?GLA,0:39,0,0,1,0,0,R
Horizon Lunar Colony,Attack,?SEO,?GLA,0:55,0,0,1,0,0,R
Horizon Lunar Colony,Attack,?SEO,?GLA,1:12,30,3,6,1,1,R
Horizon Lunar Colony,Attack,?SEO,?GLA,2:12,20,1,3,0,1,R
Horizon Lunar Colony,Attack,?SEO,?GLA,2:59,2,0,1,0,1,R
Horizon Lunar Colony,Attack,?SEO,?GLA,3:21,38,6,3,2,1,R
Ilios,Ruins,?SEO,?GLA,0:26,14,3,0,0,0,B
Ilios,Ruins,?SEO,?GLA,0:57,9,1,1,0,0,B
Ilios,Ruins,?SEO,?GLA,1:15,33,3,1,3,2,B
Ilios,Ruins,?SEO,?GLA,1:58,34,2,6,0,1,R
Ilios,Ruins,?SEO,?GLA,3:15,44,8,2,4,4,B
Ilios,Lighthouse,?SEO,?GLA,0:20,30,3,7,0,0,B
Ilios,Lighthouse,?SEO,?GLA,1:12,29,6,2,2,2,B
Ilios,Lighthouse,?SEO,?GLA,2:03,12,1,1,1,0,B
Ilios,Lighthouse,?SEO,?GLA,2:18,30,0,6,2,3,R
Ilios,Lighthouse,?SEO,?GLA,3:30,21,6,2,1,1,B
Ilios,Lighthouse,?SEO,?GLA,4:09,0,1,0,0,0,B
Ilios,Lighthouse,?SEO,?GLA,4:20,40,6,3,2,2,R
Numbani,Attack,?SEO,?GLA,5:00,48,10,5,5,4,B
Numbani,Attack,?SEO,?GLA,6:02,14,6,1,2,1,R
Numbani,Attack,?SEO,?GLA,4:39,7,4,0,0,0,B
Numbani,Attack,?SEO,?GLA,3:49,20,1,5,3,3,R
Numbani,Attack,?SEO,?GLA,3:19,10,0,2,0,0,R
Numbani,Attack,?SEO,?GLA,2:10,4,2,0,0,0,B
Numbani,Attack,?SEO,?GLA,2:33,8,0,2,0,0,R
Numbani,Attack,?SEO,?GLA,0:26,24,6,1,0,0,R
Numbani,Attack,?SEO,?GLA,1:19,34,7,3,4,0,B
Numbani,Defense,?SEO,?GLA,0:50,18,7,2,0,0,B
Numbani,Defense,?SEO,?GLA,1:40,4,1,1,1,1,B
Numbani,Defense,?SEO,?GLA,1:51,29,5,0,4,2,B
Numbani,Defense,?SEO,?GLA,2:59,22,6,3,2,2,B
Numbani,Defense,?SEO,?GLA,3:41,29,6,1,3,2,B
Dorado,Attack,?SFS,?PHI,6:31,27,1,5,1,0,B
Dorado,Attack,?SFS,?PHI,5:57,5,1,3,0,0,R
Dorado,Attack,?SFS,?PHI,5:07,25,4,3,4,2,R
Dorado,Attack,?SFS,?PHI,4:25,16,1,3,0,1,R
Dorado,Attack,?SFS,?PHI,3:46,16,2,6,2,1,R
Dorado,Attack,?SFS,?PHI,2:08,0,0,1,0,0,R
Dorado,Attack,?SFS,?PHI,2:34,19,6,0,1,1,B
Dorado,Attack,?SFS,?PHI,1:12,24,2,6,2,2,B
Dorado,Attack,?SFS,?PHI,0:17,26,6,1,0,0,B
Dorado,Defense,?SFS,?PHI,3:09,41,6,1,2,4,B
Dorado,Defense,?SFS,?PHI,2:30,13,3,1,2,1,R
Dorado,Defense,?SFS,?PHI,1:56,5,2,0,1,0,B
Dorado,Defense,?SFS,?PHI,1:13,18,4,2,0,0,B
Dorado,Defense,?SFS,?PHI,0:39,0,1,0,0,0,B
Dorado,Defense,?SFS,?PHI,3:56,30,5,0,3,1,B
Temple of Anubis,Attack,?SFS,?PHI,7:34,34,1,6,3,3,R
Temple of Anubis,Attack,?SFS,?PHI,7:13,0,1,0,0,0,B
Temple of Anubis,Attack,?SFS,?PHI,5:59,37,4,8,1,2,B
Temple of Anubis,Attack,?SFS,?PHI,5:54,0,1,0,0,0,B
Temple of Anubis,Attack,?SFS,?PHI,5:23,0,0,1,0,0,R
Temple of Anubis,Attack,?SFS,?PHI,4:02,53,4,6,2,4,B
Temple of Anubis,Attack,?SFS,?PHI,2:51,29,6,3,5,0,R
Temple of Anubis,Attack,?SFS,?PHI,2:16,10,1,1,0,1,B
Temple of Anubis,Attack,?SFS,?PHI,0:38,4,0,3,0,0,R
Temple of Anubis,Attack,?SFS,?PHI,1:25,15,0,5,0,0,R
Temple of Anubis,Defense,?SFS,?PHI,2:53,27,3,4,1,3,R
Temple of Anubis,Defense,?SFS,?PHI,1:10,12,4,1,1,0,R
Temple of Anubis,Defense,?SFS,?PHI,2:00,20,1,6,2,2,B
Temple of Anubis,Defense,?SFS,?PHI,0:37,0,1,0,0,0,B
Temple of Anubis,Defense,?SFS,?PHI,3:50,20,3,5,3,1,B
Temple of Anubis,Defense,?SFS,?PHI,4:17,49,2,11,2,2,B
Oasis,City Center,?SFS,?PHI,4:56,13,5,0,1,0,B
Oasis,City Center,?SFS,?PHI,4:38,6,0,1,0,3,R
Oasis,City Center,?SFS,?PHI,3:43,23,2,7,1,2,B
Oasis,City Center,?SFS,?PHI,2:51,20,2,5,3,1,B
Oasis,City Center,?SFS,?PHI,1:51,29,5,1,2,3,R
Oasis,City Center,?SFS,?PHI,1:07,15,2,0,0,1,B
Oasis,City Center,?SFS,?PHI,0:22,16,5,2,0,0,B
Oasis,City Center,?SFS,?PHI,0:54,6,2,1,1,0,B
Oasis,Gardens,?SFS,?PHI,2:02,47,1,9,2,3,R
Oasis,Gardens,?SFS,?PHI,1:12,29,3,7,2,4,R
Oasis,Gardens,?SFS,?PHI,0:25,16,1,4,0,0,R
Oasis,University,?SFS,?PHI,1:51,8,1,5,2,1,B
Oasis,University,?SFS,?PHI,0:49,8,1,2,0,0,R
Oasis,University,?SFS,?PHI,1:09,19,1,6,1,1,R
Oasis,University,?SFS,?PHI,0:15,10,4,2,0,0,B
Oasis,University,?SFS,?PHI,2:27,23,2,4,3,4,R
Oasis,University,?SFS,?PHI,3:17,31,1,6,2,3,R
Eichenwalde,Attack,?SFS,?PHI,8:01,33,6,1,3,2,B
Eichenwalde,Attack,?SFS,?PHI,6:31,55,4,7,5,6,R
Eichenwalde,Attack,?SFS,?PHI,6:08,8,3,0,2,0,B
Eichenwalde,Attack,?SFS,?PHI,4:42,61,9,6,2,2,R
Eichenwalde,Attack,?SFS,?PHI,4:22,9,2,1,1,2,B
Eichenwalde,Attack,?SFS,?PHI,3:39,23,4,4,0,0,B
Eichenwalde,Attack,?SFS,?PHI,2:49,27,5,0,1,0,B
Eichenwalde,Attack,?SFS,?PHI,2:07,37,3,4,2,2,B
Eichenwalde,Attack,?SFS,?PHI,0:29,24,6,1,0,0,B
Eichenwalde,Attack,?SFS,?PHI,1:38,11,1,3,1,0,R
Eichenwalde,Defense,?SFS,?PHI,5:53,8,0,4,0,1,R
Eichenwalde,Defense,?SFS,?PHI,4:10,7,2,0,0,0,B
Eichenwalde,Defense,?SFS,?PHI,4:52,31,2,7,3,1,B
Eichenwalde,Defense,?SFS,?PHI,3:42,12,1,5,0,2,R
Eichenwalde,Defense,?SFS,?PHI,3:17,10,1,1,2,1,B
Eichenwalde,Defense,?SFS,?PHI,2:27,19,1,7,2,0,R
Eichenwalde,Defense,?SFS,?PHI,2:57,12,0,2,0,2,R
Eichenwalde,Defense,?SFS,?PHI,0:56,25,0,7,0,1,R
Eichenwalde,Defense,?SFS,?PHI,1:54,13,3,1,1,1,B
Eichenwalde,Defense,?SFS,?PHI,0:36,5,1,2,0,0,B
Eichenwalde,Defense,?SFS,?PHI,0:37,11,6,0,0,0,B
Eichenwalde,Defense,?SFS,?PHI,1:23,0,1,0,1,0,B
Eichenwalde,Defense,?SFS,?PHI,1:53,28,5,2,4,5,R
Dorado,Attack,?FLA,?SEO,6:22,45,2,8,5,4,R
Dorado,Attack,?FLA,?SEO,5:37,6,0,3,0,1,R
Dorado,Attack,?FLA,?SEO,4:43,14,0,2,2,3,R
Dorado,Attack,?FLA,?SEO,4:26,0,0,1,0,0,R
Dorado,Attack,?FLA,?SEO,3:45,26,2,4,2,1,B
Dorado,Attack,?FLA,?SEO,2:31,27,1,3,2,1,R
Dorado,Attack,?FLA,?SEO,0:52,6,3,0,0,0,B
Dorado,Attack,?FLA,?SEO,1:12,43,6,3,3,4,B
Dorado,Defense,?FLA,?SEO,3:39,0,1,0,0,0,B
Dorado,Defense,?FLA,?SEO,4:01,47,3,2,4,2,R
Dorado,Defense,?FLA,?SEO,3:07,9,2,0,1,2,B
Dorado,Defense,?FLA,?SEO,2:33,11,0,6,0,0,R
Dorado,Defense,?FLA,?SEO,1:40,28,0,8,3,2,R
Dorado,Defense,?FLA,?SEO,0:59,15,3,0,2,1,B
Dorado,Defense,?FLA,?SEO,0:19,0,1,0,0,0,B
Dorado,Defense,?FLA,?SEO,0:46,7,2,2,0,0,R
Dorado,Defense,?FLA,?SEO,4:59,21,0,6,0,2,R
Dorado,Defense,?FLA,?SEO,5:41,38,1,7,2,4,R
Horizon Lunar Colony,Attack,?FLA,?SEO,7:45,29,2,6,2,2,B
Horizon Lunar Colony,Attack,?FLA,?SEO,6:44,37,3,4,4,5,B
Horizon Lunar Colony,Attack,?FLA,?SEO,5:46,29,3,4,3,2,B
Horizon Lunar Colony,Attack,?FLA,?SEO,5:01,15,1,5,1,0,R
Horizon Lunar Colony,Attack,?FLA,?SEO,4:13,24,1,5,2,3,B
Horizon Lunar Colony,Attack,?FLA,?SEO,3:38,0,0,1,0,0,R
Horizon Lunar Colony,Attack,?FLA,?SEO,3:06,6,0,4,0,0,R
Horizon Lunar Colony,Attack,?FLA,?SEO,1:51,39,5,6,5,5,B
Horizon Lunar Colony,Attack,?FLA,?SEO,1:08,14,1,2,0,0,B
Horizon Lunar Colony,Attack,?FLA,?SEO,0:30,0,1,0,0,0,B
Horizon Lunar Colony,Attack,?FLA,?SEO,0:45,7,3,1,0,0,B
Horizon Lunar Colony,Defense,?FLA,?SEO,2:27,26,4,0,3,2,B
Horizon Lunar Colony,Defense,?FLA,?SEO,1:57,4,2,0,0,0,B
Horizon Lunar Colony,Defense,?FLA,?SEO,1:32,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?FLA,?SEO,1:05,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?FLA,?SEO,0:25,24,5,0,0,0,B
Horizon Lunar Colony,Defense,?FLA,?SEO,3:28,17,1,6,2,3,R
Horizon Lunar Colony,Defense,?FLA,?SEO,4:48,17,0,4,0,3,R
Oasis,Gardens,?FLA,?SEO,4:09,43,3,9,2,3,B
Oasis,Gardens,?FLA,?SEO,3:02,29,4,1,3,1,B
Oasis,Gardens,?FLA,?SEO,2:19,22,2,5,1,3,B
Oasis,Gardens,?FLA,?SEO,1:36,12,1,5,0,2,B
Oasis,Gardens,?FLA,?SEO,0:08,8,3,0,0,0,B
Oasis,Gardens,?FLA,?SEO,0:49,13,0,5,0,0,R
Oasis,University,?FLA,?SEO,3:12,28,3,3,2,3,B
Oasis,University,?FLA,?SEO,2:17,22,5,2,3,2,R
Oasis,University,?FLA,?SEO,1:19,26,0,6,2,1,R
Oasis,University,?FLA,?SEO,0:32,25,5,0,0,0,B
Oasis,University,?FLA,?SEO,4:09,28,1,5,3,4,R
Eichenwalde,Attack,?FLA,?SEO,8:19,12,1,1,2,3,R
Eichenwalde,Attack,?FLA,?SEO,8:06,5,1,1,1,1,B
Eichenwalde,Attack,?FLA,?SEO,7:17,22,1,5,3,2,B
Eichenwalde,Attack,?FLA,?SEO,6:41,12,1,4,0,2,R
Eichenwalde,Attack,?FLA,?SEO,5:39,32,8,2,4,3,B
Eichenwalde,Attack,?FLA,?SEO,4:46,21,0,6,1,2,R
Eichenwalde,Attack,?FLA,?SEO,3:53,30,7,1,2,1,B
Eichenwalde,Attack,?FLA,?SEO,2:26,10,0,3,0,1,R
Eichenwalde,Attack,?FLA,?SEO,3:03,27,1,3,1,0,B
Eichenwalde,Attack,?FLA,?SEO,1:54,9,0,3,1,0,R
Eichenwalde,Attack,?FLA,?SEO,0:39,0,1,1,0,0,B
Eichenwalde,Attack,?FLA,?SEO,1:01,29,6,1,2,1,B
Eichenwalde,Defense,?FLA,?SEO,4:55,33,1,6,1,2,B
Eichenwalde,Defense,?FLA,?SEO,4:13,13,2,0,1,0,B
Eichenwalde,Defense,?FLA,?SEO,3:24,19,1,6,1,2,R
Eichenwalde,Defense,?FLA,?SEO,2:37,12,4,0,3,1,B
Eichenwalde,Defense,?FLA,?SEO,1:38,18,7,2,3,3,R
Eichenwalde,Defense,?FLA,?SEO,0:43,28,4,1,0,0,B
Eichenwalde,Defense,?FLA,?SEO,5:47,16,0,3,2,3,R
Eichenwalde,Defense,?FLA,?SEO,6:14,15,1,5,0,2,R
Eichenwalde,Defense,?FLA,?SEO,6:44,23,0,3,2,2,R
Junkertown,Attack,?HOU,?SHD,2:26,27,7,0,0,0,B
Junkertown,Attack,?HOU,?SHD,3:04,6,1,0,1,0,B
Junkertown,Attack,?HOU,?SHD,3:29,57,10,1,5,2,B
Junkertown,Attack,?HOU,?SHD,0:09,0,0,1,0,0,R
Junkertown,Attack,?HOU,?SHD,0:39,71,11,4,4,5,B
Junkertown,Defense,?HOU,?SHD,0:07,0,1,0,0,0,B
Junkertown,Defense,?HOU,?SHD,0:32,5,3,0,0,0,B
Junkertown,Defense,?HOU,?SHD,1:11,43,5,5,3,2,B
Junkertown,Defense,?HOU,?SHD,2:05,19,5,0,1,1,B
Junkertown,Defense,?HOU,?SHD,2:46,0,1,0,0,0,B
Junkertown,Defense,?HOU,?SHD,2:59,9,1,0,1,1,B
Junkertown,Defense,?HOU,?SHD,3:34,30,6,2,4,2,B
Horizon Lunar Colony,Attack,?HOU,?SHD,2:48,63,12,2,6,3,R
Horizon Lunar Colony,Attack,?HOU,?SHD,1:44,26,2,2,0,1,B
Horizon Lunar Colony,Attack,?HOU,?SHD,0:43,32,6,3,1,1,B
Horizon Lunar Colony,Defense,?HOU,?SHD,6:58,13,2,0,0,1,B
Horizon Lunar Colony,Defense,?HOU,?SHD,6:09,21,5,0,2,1,B
Horizon Lunar Colony,Defense,?HOU,?SHD,4:29,0,2,0,0,0,B
Horizon Lunar Colony,Defense,?HOU,?SHD,5:05,23,6,0,1,0,B
Horizon Lunar Colony,Defense,?HOU,?SHD,3:44,20,5,2,0,0,R
Horizon Lunar Colony,Defense,?HOU,?SHD,2:25,15,1,5,2,4,R
Horizon Lunar Colony,Defense,?HOU,?SHD,1:13,34,6,2,2,1,B
Horizon Lunar Colony,Defense,?HOU,?SHD,0:30,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?HOU,?SHD,7:41,20,6,0,5,3,B
Oasis,Gardens,?HOU,?SHD,3:35,38,7,1,5,4,B
Oasis,Gardens,?HOU,?SHD,3:28,0,0,1,0,0,R
Oasis,Gardens,?HOU,?SHD,2:37,30,6,2,1,1,R
Oasis,Gardens,?HOU,?SHD,0:22,13,4,0,0,0,B
Oasis,Gardens,?HOU,?SHD,1:22,46,4,10,4,4,R
Oasis,University,?HOU,?SHD,2:04,23,2,6,2,4,B
Oasis,University,?HOU,?SHD,2:55,25,1,6,1,0,R
Oasis,University,?HOU,?SHD,1:45,7,0,1,1,0,R
Oasis,University,?HOU,?SHD,1:06,8,2,1,2,0,B
Oasis,University,?HOU,?SHD,0:29,20,7,0,0,0,B
Oasis,University,?HOU,?SHD,3:36,33,7,1,4,3,B
Numbani,Attack,?HOU,?SHD,2:55,11,3,0,2,0,B
Numbani,Attack,?HOU,?SHD,1:54,18,7,1,3,4,B
Numbani,Attack,?HOU,?SHD,0:18,17,3,0,0,0,B
Numbani,Attack,?HOU,?SHD,1:15,20,3,0,0,0,B
Numbani,Defense,?HOU,?SHD,5:45,25,0,5,0,4,R
Numbani,Defense,?HOU,?SHD,4:43,17,5,1,2,0,B
Numbani,Defense,?HOU,?SHD,5:19,16,3,1,1,0,B
Numbani,Defense,?HOU,?SHD,2:48,79,3,11,2,5,R
Numbani,Defense,?HOU,?SHD,2:03,19,5,0,3,0,B
Numbani,Defense,?HOU,?SHD,0:36,10,4,0,0,0,B
Numbani,Defense,?HOU,?SHD,1:21,9,2,0,0,0,B
Numbani,Defense,?HOU,?SHD,6:30,36,5,2,5,1,B
Junkertown,Attack,?DAL,?HOU,0:22,5,1,2,0,0,B
Junkertown,Attack,?DAL,?HOU,0:57,38,4,7,4,2,B
Junkertown,Attack,?DAL,?HOU,1:58,39,6,2,2,1,R
Junkertown,Attack,?DAL,?HOU,2:54,30,4,8,3,3,B
Junkertown,Attack,?DAL,?HOU,3:52,10,1,1,1,0,B
Junkertown,Defense,?DAL,?HOU,0:29,24,2,6,0,1,R
Junkertown,Defense,?DAL,?HOU,1:03,10,1,4,0,1,R
Horizon Lunar Colony,Attack,?DAL,?HOU,0:28,0,0,1,0,0,R
Horizon Lunar Colony,Attack,?DAL,?HOU,0:47,0,1,0,0,0,B
Horizon Lunar Colony,Attack,?DAL,?HOU,1:12,62,7,6,4,3,B
Horizon Lunar Colony,Attack,?DAL,?HOU,2:59,18,1,5,0,1,R
Horizon Lunar Colony,Attack,?DAL,?HOU,3:44,38,6,6,2,3,B
Horizon Lunar Colony,Attack,?DAL,?HOU,4:54,16,1,6,1,2,B
Horizon Lunar Colony,Attack,?DAL,?HOU,5:41,15,0,4,1,1,R
Horizon Lunar Colony,Attack,?DAL,?HOU,6:22,7,1,1,0,0,R
Horizon Lunar Colony,Attack,?DAL,?HOU,6:45,33,3,7,3,4,R
Horizon Lunar Colony,Attack,?DAL,?HOU,7:48,28,4,5,1,3,R
Horizon Lunar Colony,Defense,?DAL,?HOU,0:12,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?DAL,?HOU,0:37,18,1,7,0,0,R
Horizon Lunar Colony,Defense,?DAL,?HOU,1:19,26,3,5,1,4,R
Oasis,University,?DAL,?HOU,0:30,15,4,0,0,0,B
Oasis,University,?DAL,?HOU,1:14,18,1,6,1,1,R
Oasis,University,?DAL,?HOU,1:51,22,0,6,1,2,R
Oasis,University,?DAL,?HOU,2:37,33,3,6,4,4,B
Oasis,University,?DAL,?HOU,3:29,44,3,8,3,4,R
Oasis,City Center,?DAL,?HOU,0:20,23,7,1,0,0,B
Oasis,City Center,?DAL,?HOU,1:08,16,1,4,2,3,R
Oasis,City Center,?DAL,?HOU,1:41,7,2,5,0,0,R
Oasis,City Center,?DAL,?HOU,2:29,60,5,8,3,7,R
Eichenwalde,Attack,?DAL,?HOU,4:17,18,1,4,1,1,R
Eichenwalde,Attack,?DAL,?HOU,5:06,5,1,1,0,0,R
Eichenwalde,Attack,?DAL,?HOU,5:35,0,0,1,0,0,R
Eichenwalde,Attack,?DAL,?HOU,5:56,5,0,1,0,0,R
Eichenwalde,Attack,?DAL,?HOU,6:11,23,1,4,0,3,R
Eichenwalde,Attack,?DAL,?HOU,2:36,53,4,7,4,3,B
Eichenwalde,Attack,?DAL,?HOU,1:40,22,0,6,0,1,R
Eichenwalde,Attack,?DAL,?HOU,0:17,16,6,0,0,0,B
Eichenwalde,Attack,?DAL,?HOU,1:12,7,2,0,1,0,B
Eichenwalde,Defense,?DAL,?HOU,0:06,0,1,0,0,0,B
Eichenwalde,Defense,?DAL,?HOU,0:39,4,4,0,0,0,B
Eichenwalde,Defense,?DAL,?HOU,1:17,17,6,1,3,1,B
Eichenwalde,Defense,?DAL,?HOU,1:57,32,3,6,0,2,R
Eichenwalde,Defense,?DAL,?HOU,2:48,13,0,6,0,2,R
Eichenwalde,Defense,?DAL,?HOU,3:27,11,6,0,0,0,B
Eichenwalde,Defense,?DAL,?HOU,4:11,67,5,11,3,4,B
Junkertown,Attack,?NYE,?VAL,0:15,0,0,1,0,0,R
Junkertown,Attack,?NYE,?VAL,0:37,17,6,1,0,1,B
Junkertown,Attack,?NYE,?VAL,1:26,8,0,3,0,1,R
Junkertown,Attack,?NYE,?VAL,2:07,13,4,0,4,1,B
Junkertown,Attack,?NYE,?VAL,2:41,36,2,3,1,1,R
Junkertown,Attack,?NYE,?VAL,4:06,14,0,3,1,1,R
Junkertown,Attack,?NYE,?VAL,5:14,34,4,6,3,5,B
Junkertown,Attack,?NYE,?VAL,6:25,28,6,1,0,0,B
Junkertown,Attack,?NYE,?VAL,7:19,11,0,1,2,0,R
Junkertown,Attack,?NYE,?VAL,7:39,27,7,0,1,1,B
Junkertown,Attack,?NYE,?VAL,8:18,22,4,4,1,2,B
Junkertown,Defense,?NYE,?VAL,0:27,26,5,2,0,0,B
Junkertown,Defense,?NYE,?VAL,1:19,0,0,1,0,0,R
Junkertown,Defense,?NYE,?VAL,1:27,29,3,2,3,3,R
Junkertown,Defense,?NYE,?VAL,2:05,23,2,2,2,0,R
Junkertown,Defense,?NYE,?VAL,2:43,0,0,1,0,0,R
Junkertown,Defense,?NYE,?VAL,3:00,8,0,5,0,4,R
Junkertown,Defense,?NYE,?VAL,3:39,47,7,4,4,2,R
Junkertown,Defense,?NYE,?VAL,5:29,49,7,2,4,3,B
Horizon Lunar Colony,Attack,?NYE,?VAL,0:30,10,6,0,0,0,B
Horizon Lunar Colony,Attack,?NYE,?VAL,1:10,25,2,5,3,4,B
Horizon Lunar Colony,Attack,?NYE,?VAL,2:10,94,13,10,4,5,B
Horizon Lunar Colony,Attack,?NYE,?VAL,4:03,32,4,4,4,3,B
Horizon Lunar Colony,Attack,?NYE,?VAL,4:57,20,2,5,0,1,B
Horizon Lunar Colony,Attack,?NYE,?VAL,5:43,2,0,1,0,1,R
Horizon Lunar Colony,Attack,?NYE,?VAL,6:17,28,1,4,1,2,B
Horizon Lunar Colony,Attack,?NYE,?VAL,7:12,51,2,7,4,3,B
Horizon Lunar Colony,Defense,?NYE,?VAL,0:22,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?NYE,?VAL,0:52,17,5,0,1,0,B
Horizon Lunar Colony,Defense,?NYE,?VAL,1:46,14,2,1,2,1,R
Horizon Lunar Colony,Defense,?NYE,?VAL,2:28,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?NYE,?VAL,2:57,35,5,6,2,4,B
Horizon Lunar Colony,Defense,?NYE,?VAL,3:50,16,4,1,1,0,B
Oasis,City Center,?NYE,?VAL,0:24,31,4,0,0,0,B
Oasis,City Center,?NYE,?VAL,1:21,14,6,0,0,1,B
Oasis,City Center,?NYE,?VAL,2:00,0,1,0,0,0,B
Oasis,City Center,?NYE,?VAL,2:29,41,6,8,4,3,R
Oasis,City Center,?NYE,?VAL,4:01,46,7,1,3,4,R
Oasis,Gardens,?NYE,?VAL,0:33,29,4,6,0,0,B
Oasis,Gardens,?NYE,?VAL,1:34,63,9,5,5,4,R
Oasis,Gardens,?NYE,?VAL,3:08,0,1,0,0,0,B
Oasis,Gardens,?NYE,?VAL,3:32,22,5,3,3,1,B
Oasis,Gardens,?NYE,?VAL,4:17,37,1,8,1,1,R
Oasis,Gardens,?NYE,?VAL,5:09,22,1,6,2,4,R
Oasis,University,?NYE,?VAL,0:43,11,7,0,0,0,B
Oasis,University,?NYE,?VAL,1:28,49,6,1,5,3,R
Oasis,University,?NYE,?VAL,2:43,34,8,2,3,2,B
Numbani,Attack,?NYE,?VAL,5:00,11,3,0,2,2,B
Numbani,Attack,?NYE,?VAL,3:53,17,5,0,1,1,B
Numbani,Attack,?NYE,?VAL,4:32,12,5,0,1,1,B
Numbani,Attack,?NYE,?VAL,3:02,20,8,0,1,2,B
Numbani,Attack,?NYE,?VAL,2:33,2,0,1,0,1,R
Numbani,Attack,?NYE,?VAL,1:47,16,0,5,2,0,R
Numbani,Attack,?NYE,?VAL,0:33,5,1,1,0,0,B
Numbani,Attack,?NYE,?VAL,1:00,10,4,0,0,0,B
Numbani,Defense,?NYE,?VAL,0:24,8,2,0,0,0,B
Numbani,Defense,?NYE,?VAL,1:12,14,4,0,0,0,B
Numbani,Defense,?NYE,?VAL,1:52,13,2,0,2,2,B
Numbani,Defense,?NYE,?VAL,2:40,17,3,5,3,2,B
Numbani,Defense,?NYE,?VAL,3:16,16,1,2,0,1,R
Numbani,Defense,?NYE,?VAL,4:03,0,1,0,0,0,B
Numbani,Defense,?NYE,?VAL,4:29,0,0,1,0,0,R
Numbani,Defense,?NYE,?VAL,4:51,51,4,8,5,4,R
Numbani,Defense,?NYE,?VAL,6:18,41,5,5,3,1,R
Numbani,Defense,?NYE,?VAL,7:34,2,1,0,0,3,B
Numbani,Defense,?NYE,?VAL,7:44,22,1,6,2,2,R
Numbani,Attack,?NYE,?VAL,0:21,13,0,5,0,0,R
Numbani,Attack,?NYE,?VAL,1:05,5,1,4,0,0,B
Numbani,Attack,?NYE,?VAL,2:00,44,4,8,4,4,R
Junkertown,Attack,?PHI,?GLA,8:32,33,6,5,4,3,B
Junkertown,Attack,?PHI,?GLA,8:02,18,3,1,2,2,B
Junkertown,Attack,?PHI,?GLA,7:05,31,5,3,1,1,R
